observation_date,DEXTHUS
1992-05-28,25.5400
1992-05-29,25.4900
1992-06-01,25.4200
1992-06-02,25.4400
1992-06-03,25.4400
1992-06-04,25.4600
1992-06-05,25.4300
1992-06-08,25.4200
1992-06-09,25.4200
1992-06-10,25.4400
1992-06-11,25.4400
1992-06-12,25.3900
1992-06-15,25.3900
1992-06-16,25.4000
1992-06-17,25.3700
1992-06-18,25.3700
1992-06-19,25.4100
1992-06-22,25.4200
1992-06-23,25.3900
1992-06-24,25.4000
1992-06-25,25.3800
1992-06-26,25.3300
1992-06-29,25.3300
1992-06-30,25.3000
1992-07-01,
1992-07-02,25.3000
1992-07-03,25.2700
1992-07-06,25.3100
1992-07-07,25.2700
1992-07-08,25.2400
1992-07-09,25.2700
1992-07-10,25.3200
1992-07-13,25.2700
1992-07-14,25.2600
1992-07-15,25.2500
1992-07-16,25.2700
1992-07-17,25.2600
1992-07-20,25.2200
1992-07-21,25.2900
1992-07-22,25.2900
1992-07-23,25.3200
1992-07-24,25.3200
1992-07-27,25.3600
1992-07-28,25.3500
1992-07-29,25.3200
1992-07-30,25.3500
1992-07-31,25.3400
1992-08-03,25.3125
1992-08-04,25.3100
1992-08-05,25.3100
1992-08-06,25.3300
1992-08-07,25.3400
1992-08-10,25.3125
1992-08-11,25.3200
1992-08-12,25.3200
1992-08-13,25.3100
1992-08-14,25.2800
1992-08-17,25.2900
1992-08-18,25.2700
1992-08-19,25.2600
1992-08-20,25.2600
1992-08-21,25.2600
1992-08-24,25.2100
1992-08-25,25.1700
1992-08-26,25.1800
1992-08-27,25.1800
1992-08-28,25.1900
1992-08-31,25.1500
1992-09-01,25.1300
1992-09-02,25.1100
1992-09-03,25.1200
1992-09-04,25.1600
1992-09-07,
1992-09-08,25.1500
1992-09-09,25.1100
1992-09-10,25.1500
1992-09-11,25.2100
1992-09-14,25.2700
1992-09-15,25.2300
1992-09-16,25.2700
1992-09-17,25.3500
1992-09-18,25.3000
1992-09-21,25.2850
1992-09-22,25.2900
1992-09-23,25.2600
1992-09-24,25.2500
1992-09-25,25.2200
1992-09-28,25.2200
1992-09-29,25.1700
1992-09-30,25.1300
1992-10-01,25.1500
1992-10-02,25.1500
1992-10-05,25.1100
1992-10-06,
1992-10-07,25.1300
1992-10-08,25.2000
1992-10-09,25.2400
1992-10-12,
1992-10-13,25.2400
1992-10-14,25.2400
1992-10-15,25.2300
1992-10-16,25.2200
1992-10-19,25.2300
